"No","Hebrew (letters)","Triplet (transliteration)","Astrological Correspondence","Archangel / Angel","Keyword","Meaning (English)","Practical Application","Reflective Question","Meditation Practice","Associated Psalm","Psalm Text (English)"
"1","והו","Vav Heh Vav","Aries","Vehuiah","Return Creation","Return to creation; reset past seeds to reshape present/future","Use when you need to return to creation.","Where in my life do I need more return creation right now?","Visualize the letters והו glowing as you breathe in 4, hold 4, out 4. Repeat the triplet silently 3×7 times, focusing on return creation.","Psalm 3:3","But thou, O LORD, art a shield for me; my glory, and the lifter up of mine head."
"2","ילי","Yud Lamed Yud","Aries","Jeliel","Return Embryonic State","Return to the embryonic state; reclaim lost sparks of the soul","Use when you need to return to the embryonic state.","Where in my life do I need more return embryonic state right now?","Visualize the letters ילי glowing as you breathe in 4, hold 4, out 4. Repeat the triplet silently 3×7 times, focusing on return embryonic state.","Psalm 22:19","But be not thou far from me, O LORD: O my strength, haste thee to help me."
"3","סיט","Samech Yud Tet","Aries","Sitael","Miracle Making","Miracle making; ignite the power of miracles by rejecting negativity","Use when you need to miracle making.","Where in my life do I need more miracle making right now?","Visualize the letters סיט glowing as you breathe in 4, hold 4, out 4. Repeat the triplet silently 3×7 times, focusing on miracle making.","Psalm 91:2","I will say of the LORD, He is my refuge and my fortress: my God; in him will I trust."
"4","עלמ","Ayin Lamed Mem","Aries","Elemiah","Eliminate Negative Thoughts","Eliminate negative thoughts; open the heart to Light","Use when you need to eliminate negative thoughts.","Where in my life do I need more eliminate negative thoughts right now?","Visualize the letters עלמ glowing as you breathe in 4, hold 4, out 4. Repeat the triplet silently 3×7 times, focusing on eliminate negative thoughts.","Psalm 6:4","Return, O LORD, deliver my soul: oh save me for thy mercies' sake."
"5","מהש","Mem Heh Shin","Aries","Mahasiah","Healing Deepest Level","Healing at the deepest level","Use when you need to healing at the deepest level.","Where in my life do I need more healing deepest level right now?","Visualize the letters מהש glowing as you breathe in 4, hold 4, out 4. Repeat the triplet silently 3×7 times, focusing on healing deepest level.","Psalm 34:4","I sought the LORD, and he heard me, and delivered me from all my fears."
"6","ללה","Lamed Lamed Heh","Aries","Lelahel","Truthful Dreams","Truthful dreams; build the vessel for true dream-state insight","Use when you need to truthful dreams.","Where in my life do I need more truthful dreams right now?","Visualize the letters ללה glowing as you breathe in 4, hold 4, out 4. Repeat the triplet silently 3×7 times, focusing on truthful dreams.","Psalm 9:11","Sing praises to the LORD, which dwelleth in Zion: declare among the people his doings."
"7","אכא","Aleph Kaf Aleph","Taurus","Achaiah","Dna Soul","DNA of the soul; restore order and purpose","Use when you need to dNA of the soul.","Where in my life do I need more dna soul right now?","Visualize the letters אכא glowing as you breathe in 4, hold 4, out 4. Repeat the triplet silently 3×7 times, focusing on dna soul.","Psalm 103:8","The LORD is merciful and gracious, slow to anger, and plenteous in mercy."
"8","כהת","Kaf Heh Tav","Taurus","Cahetel","Defuse Negative Energy","Defuse negative energy and stress","Use when you need to defuse negative energy and stress.","Where in my life do I need more defuse negative energy right now?","Visualize the letters כהת glowing as you breathe in 4, hold 4, out 4. Repeat the triplet silently 3×7 times, focusing on defuse negative energy.","Psalm 95:6","O come, let us worship and bow down: let us kneel before the LORD our maker."
"9","הזי","Heh Zayin Yud","Taurus","Haziel","Angelic Influence","Angelic influence; access angelic assistance to bring order","Use when you need to angelic influence.","Where in my life do I need more angelic influence right now?","Visualize the letters הזי glowing as you breathe in 4, hold 4, out 4. Repeat the triplet silently 3×7 times, focusing on angelic influence.","Psalm 25:6","Remember, O LORD, thy tender mercies and thy lovingkindnesses; for they have been ever of old."
"10","אלד","Aleph Lamed Dalet","Taurus","Aladiah","Protection Evil Eye","Protection from the evil eye; shield from envy and bad dreams","Use when you need to protection from the evil eye.","Where in my life do I need more protection evil eye right now?","Visualize the letters אלד glowing as you breathe in 4, hold 4, out 4. Repeat the triplet silently 3×7 times, focusing on protection evil eye.","Psalm 33:22","Let thy mercy, O LORD, be upon us, according as we hope in thee."
"11","לאו","Lamed Aleph Vav","Taurus","Lauviah","Banish Remnants Evil","Banish remnants of evil and inflated ego","Use when you need to banish remnants of evil and inflated ego.","Where in my life do I need more banish remnants evil right now?","Visualize the letters לאו glowing as you breathe in 4, hold 4, out 4. Repeat the triplet silently 3×7 times, focusing on banish remnants evil.","Psalm 18:46","The LORD liveth; and blessed be my rock; and let the God of my salvation be exalted."
